Code;Description
CAB00373;Chip/Money Changer
CAB00374;Chipper & Painter
CAB00375;Chipper (hand)
CAB00376;Chipping Driver
CAB00377;Chiropodist
CAB00378;Chiropracter
CAC02664;Church Organist 
CAD03064;Cinema Projectionist
CAB00383;Circus Hand
CAD03065;Circus Manager
CAD03066;Civil Engineer
OC9312;Civil engineering labourer
OC3112;Civil engineering technician
CAD03067;Civil Servant
CAB00390;Claims Adjuster
CAB00391;Claims Assessor
CAD03068;Cleaner - commercial premises
CAC02666;Cleaner - domestic premises
CAD03069;Cleaner - industrial 
OC3331;Clearing and forwarding agent
CAB00405;Clergy
CAB00406;Clerical Staff
CAB00407;Clerical Worker
CAB00409;Clerk of Works
OC4229;Client information worker
CAB00412;Cloakroom Attendant - Club/Nightclub - Entertainment
CAB00413;Cloakroom Attendant - Theatre, Ballet etc - Entertainment
CAB00414;Clock & Watch Assembler
CAB00415;Clock/Watch Maker
CAB00416;Clock/Watch Repairer
CAB00417;Cloth Cutter
CAC02671;Clothing Designer
CAB00418;Clown
CAB00419;Club Manager
CAB00420;Club Proprietor
CAB00421;Club Steward
CAD03070;Coach - Sports
CAB00427;Coach Driver
CAB00428;Coach Painter
CAB00431;Coal Cutter Mover
CAB00432;Coal Cutterman
CAB00433;Coal Dry Cleaning Plant Operator
CAB00434;Coal Face Workers
CAB00435;Coal Melter
CAB00436;Coal Merchant - admin only
CAB00437;Coal Merchant - some delivery
CAB00438;Coal Trimmer
CAB00439;Coal Washery Operator
CAB00440;Coal Yard Foreman
CAB00441;Coal Yard Man
CAB00442;Coastguard (Office based)
CAB00443;Coastguard (Otherwise)
OC4413;Coding, proof-reading and related clerk
CAB00444;Coffin Maker
CAB00445;Coil Former
CAB00446;Coil Winder
CAB00447;College Lecturer
CAB00449;Colour Calculator
CAB00450;Colour Matcher
CAB00451;Colour Mixer
CAB00452;Columnist
CAB00453;Comedian
CAB00454;Commentator - no overseas travel etc
CAB00455;Commentator - otherwise
CAB00456;Commercial Diving
CAC02674;Commercial Manager (office sales)
CAB00457;Commercial Pilots
OC3322;Commercial sales representative
CAC02675;Commercial Traveller
CAB00458;Commissionaire
OC0110;Commissioned armed forces officer
CAD03071;Community Development Worker
OC3253;Community health worker
CAB00460;Community Nurse
OC5162;Companions and valet
CAC02678;Company Director (admin. duties only)
CAC02679;Company Secretary
CAB00462;Compass Adjuster
CAC02680;Compliance Manager
